age,gender,census_region,n
2,Female,Northeast,31
2,Female,Midwest,12
2,Female,South,50
2,Female,West,52
2,Male,Northeast,17
2,Male,Midwest,11
2,Male,South,40
2,Male,West,59
3,Female,Northeast,28
3,Female,Midwest,21
3,Female,South,68
3,Female,West,52
3,Male,Northeast,31
3,Male,Midwest,21
3,Male,South,55
3,Male,West,64
4,Female,Northeast,45
4,Female,Midwest,18
4,Female,South,68
4,Female,West,61
4,Male,Northeast,38
4,Male,Midwest,33
4,Male,South,54
4,Male,West,61
5,Female,Northeast,29
5,Female,Midwest,27
5,Female,South,88
5,Female,West,66
5,Male,Northeast,35
5,Male,Midwest,28
5,Male,South,71
5,Male,West,75
6,Female,Northeast,52
6,Female,Midwest,34
6,Female,South,89
6,Female,West,91
6,Male,Northeast,51
6,Male,Midwest,33
6,Male,South,89
6,Male,West,85
7,Female,Northeast,52
7,Female,Midwest,33
7,Female,South,96
7,Female,West,77
7,Male,Northeast,55
7,Male,Midwest,26
7,Male,South,94
7,Male,West,83
8,Female,Northeast,51
8,Female,Midwest,43
8,Female,South,103
8,Female,West,93
8,Male,Northeast,64
8,Male,Midwest,48
8,Male,South,94
8,Male,West,98
9,Female,Northeast,57
9,Female,Midwest,31
9,Female,South,103
9,Female,West,87
9,Male,Northeast,58
9,Male,Midwest,43
9,Male,South,101
9,Male,West,98
10,Female,Northeast,60
10,Female,Midwest,41
10,Female,South,114
10,Female,West,88
10,Male,Northeast,72
10,Male,Midwest,32
10,Male,South,118
10,Male,West,115
11,Female,Northeast,75
11,Female,Midwest,57
11,Female,South,135
11,Female,West,112
11,Male,Northeast,83
11,Male,Midwest,50
11,Male,South,121
11,Male,West,107
12,Female,Northeast,81
12,Female,Midwest,56
12,Female,South,146
12,Female,West,121
12,Male,Northeast,79
12,Male,Midwest,76
12,Male,South,133
12,Male,West,118
13,Female,Northeast,93
13,Female,Midwest,75
13,Female,South,176
13,Female,West,131
13,Male,Northeast,99
13,Male,Midwest,58
13,Male,South,163
13,Male,West,132
14,Female,Northeast,115
14,Female,Midwest,73
14,Female,South,193
14,Female,West,154
14,Male,Northeast,94
14,Male,Midwest,67
14,Male,South,174
14,Male,West,135
15,Female,Northeast,104
15,Female,Midwest,64
15,Female,South,192
15,Female,West,140
15,Male,Northeast,101
15,Male,Midwest,82
15,Male,South,177
15,Male,West,129
16,Female,Northeast,137
16,Female,Midwest,103
16,Female,South,209
16,Female,West,182
16,Male,Northeast,127
16,Male,Midwest,82
16,Male,South,212
16,Male,West,152
17,Female,Northeast,135
17,Female,Midwest,89
17,Female,South,240
17,Female,West,170
17,Male,Northeast,142
17,Male,Midwest,81
17,Male,South,212
17,Male,West,163
18,Female,Northeast,176
18,Female,Midwest,81
18,Female,South,240
18,Female,West,194
18,Male,Northeast,149
18,Male,Midwest,85
18,Male,South,255
18,Male,West,167
19,Female,Northeast,166
19,Female,Midwest,127
19,Female,South,283
19,Female,West,203
19,Male,Northeast,174
19,Male,Midwest,119
19,Male,South,257
19,Male,West,238
20,Female,Northeast,186
20,Female,Midwest,122
20,Female,South,259
20,Female,West,202
20,Male,Northeast,198
20,Male,Midwest,104
20,Male,South,258
20,Male,West,214
21,Female,Northeast,217
21,Female,Midwest,121
21,Female,South,240
21,Female,West,191
21,Male,Northeast,182
21,Male,Midwest,120
21,Male,South,264
21,Male,West,244
22,Female,Northeast,195
22,Female,Midwest,94
22,Female,South,268
22,Female,West,229
22,Male,Northeast,174
22,Male,Midwest,88
22,Male,South,260
22,Male,West,240
23,Female,Northeast,188
23,Female,Midwest,105
23,Female,South,266
23,Female,West,233
23,Male,Northeast,183
23,Male,Midwest,99
23,Male,South,254
23,Male,West,215
24,Female,Northeast,178
24,Female,Midwest,95
24,Female,South,282
24,Female,West,231
24,Male,Northeast,194
24,Male,Midwest,83
24,Male,South,281
24,Male,West,245
25,Female,Northeast,222
25,Female,Midwest,89
25,Female,South,278
25,Female,West,247
25,Male,Northeast,201
25,Male,Midwest,87
25,Male,South,271
25,Male,West,253
26,Female,Northeast,234
26,Female,Midwest,99
26,Female,South,288
26,Female,West,272
26,Male,Northeast,199
26,Male,Midwest,92
26,Male,South,289
26,Male,West,285
27,Female,Northeast,223
27,Female,Midwest,113
27,Female,South,299
27,Female,West,285
27,Male,Northeast,224
27,Male,Midwest,111
27,Male,South,338
27,Male,West,295
28,Female,Northeast,272
28,Female,Midwest,124
28,Female,South,320
28,Female,West,313
28,Male,Northeast,263
28,Male,Midwest,132
